Point number,latitude,longitude,z
1,145.146794260,-38.121052833,15.484998703
2,145.146792842,-38.121055792,15.471998215
3,145.146782368,-38.121078562,15.467998505
4,145.146781268,-38.121081612,15.478998184
5,145.146794823,-38.121156452,15.410999298
6,145.146789615,-38.121051147,15.441999435
7,145.146648642,-38.120999860,15.285999298
8,145.146657248,-38.121035002,15.698999405
9,145.146699443,-38.121049053,15.568998337
10,145.146688622,-38.121129532,15.522998810
11,145.146688653,-38.121145185,15.587999344
12,145.146576538,-38.121027613,15.228998184
13,145.146562687,-38.121038608,15.425998688
14,145.146528903,-38.121040505,15.697998047
15,145.146550993,-38.121110318,15.386999130
16,145.146555582,-38.121134823,15.763998032
17,145.146520218,-38.121108705,15.675998688
18,145.146483273,-38.121089242,15.814998627
19,145.146485752,-38.121066407,15.506998062
20,145.146487433,-38.121055112,15.543998718
21,145.146491030,-38.121033103,16.001998901
22,145.146483988,-38.120939210,15.119998932
23,145.146480080,-38.120935693,15.662998199
24,145.146488562,-38.120951648,15.253999710
25,145.146489395,-38.120948143,15.193998337
26,145.146507882,-38.120949135,15.131998062
27,145.146524648,-38.120954995,15.441999435
28,145.146231380,-38.121104840,15.652999878
29,145.146519388,-38.121091897,16.043998718
30,145.146519373,-38.121092113,16.040998459
31,145.146519368,-38.121092123,16.039999008
32,145.146439225,-38.121091132,15.152999878